Student,Config,HumanEval,MBPP,Average,Loss
0.5B,curriculum_large,59.8,3.4,31.6,0.7743
0.5B,curriculum_long,53.0,2.8,27.9,1.3526
0.5B,large_teacher_1000,68.3,4.0,36.1,0.7895
0.5B,long_cot_1000,54.3,2.8,28.5,1.2720
0.5B,long_cot_500,57.9,3.0,30.5,1.3588
0.5B,mix_large_1000,59.8,3.8,31.8,0.5114
0.5B,mix_long_1000,54.3,3.4,28.8,1.2409
0.5B,short_cot_1000,32.9,2.6,17.8,1.2081
0.5B,short_cot_500,38.4,3.0,20.7,1.3587
0.5B,small_teacher_1000,56.1,3.6,29.8,0.4138
1.5B,curriculum_large,61.6,5.0,33.3,0.5989
1.5B,curriculum_long,60.4,5.4,32.9,1.0724
1.5B,large_teacher_1000,69.5,5.4,37.5,0.6037
1.5B,long_cot_1000,61.0,5.6,33.3,0.9926
1.5B,long_cot_500,62.8,4.0,33.4,1.0653
1.5B,mix_large_1000,63.4,4.0,33.7,0.3932
1.5B,mix_long_1000,60.4,5.0,32.7,0.9794
1.5B,short_cot_1000,59.8,5.0,32.4,0.9818
1.5B,short_cot_500,65.9,5.6,35.7,1.0890
1.5B,small_teacher_1000,62.8,4.0,33.4,0.3240
3B,curriculum_large,82.3,5.4,43.9,0.5415
3B,curriculum_long,79.9,6.8,43.3,0.9817
3B,large_teacher_1000,81.7,5.4,43.6,0.5632
3B,long_cot_1000,81.1,6.6,43.8,0.8994
3B,long_cot_500,76.2,6.2,41.2,0.9597
3B,mix_large_1000,83.5,5.2,44.4,0.3592
3B,mix_long_1000,76.8,6.0,41.4,0.8973
3B,short_cot_1000,76.8,6.2,41.5,0.9137
3B,short_cot_500,78.0,6.6,42.3,0.9936
3B,small_teacher_1000,85.4,5.4,45.4,0.3030
